Motion Profile: Recording - 4425 2018.03.83,,,,,,,,,
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity,,
0.365591398,-0.359726295,,0.24839415,0,,0.450465022,0,,
0.365591398,-0.359726295,,0.25162475,0,,0.416215206,0,,
0.365591398,-0.359726295,,0.25246025,0,,0.457307061,0,,
0.365591398,-0.359726295,,0.25452115,2.79E-05,,0.463009144,0,,
0.365591398,-0.359726295,,0.25797455,0,,0.477701544,0,,
0.365591398,-0.359726295,,0.26209635,0,,0.483087598,0,,
0.365591398,-0.359726295,,0.2626255,2.79E-05,,0.478933792,0,,
0.365591398,-0.359726295,,0.266803,0,,0.462720665,0,,
0.365591398,-0.359726295,,0.2675271,2.79E-05,,0.464650678,0,,
0.365591398,-0.359726295,,0.26967155,0,,0.466401507,0,,
0.365591398,-0.359726295,,0.2720945,2.79E-05,,0.474446337,0,,
0.364613881,-0.360703812,,0.2743782,0,,0.481209503,0,,
0.364613881,-0.360703812,,0.2778873,2.79E-05,,0.490424829,0,,
0.364613881,-0.360703812,,0.281285,0,,0.463394343,0,,
0.364613881,-0.360703812,,0.2821762,0,,0.466792374,0,,
0.364613881,-0.360703812,,0.2850726,2.79E-05,,0.480172414,0,,
0.364613881,-0.360703812,,0.2873006,2.79E-05,,0.480690399,0,,
0.364613881,-0.360703812,,0.28966785,2.79E-05,,0.486994536,0,,
0.364613881,-0.31769306,,0.2915338,0,,0.469447956,0,,
0.318670577,-0.31769306,,0.2938732,2.79E-05,,0.464941569,0,,
0.318670577,-0.31769306,,0.29752155,2.79E-05,,0.46994305,0,,
0.318670577,-0.31769306,,0.30058505,0,,0.482459939,0,,
0.318670577,-0.31769306,,0.301894,0,,0.487207522,0,,
0.318670577,-0.31769306,,0.3044562,0,,0.494561598,0,,
0,-0.31769306,,0.30699055,0,,0.474143435,0,,
0,-0.31769306,,0.30860585,0,,0.45247766,0,,
0,0,,0.31055535,2.79E-05,,0.418796992,0,,
0,0,,0.31272765,2.79E-05,,0.417462994,0,,
0,0,,0.315819,2.79E-05,,0.350921405,0,,
0,0,,0.3175457,0,,0.335997587,0,,
0,0,,0.319161,2.79E-05,,0.33559271,0,,
0,0,,0.32091555,0,,0.395105515,0,,
0.289345064,0,,0.3225587,2.79E-05,,0.440751731,0,,
0.289345064,0,,0.32459175,2.79E-05,,0.472935682,0,,
0.289345064,-0.294232649,,0.32637415,2.79E-05,,0.480897906,0,,
0.289345064,-0.294232649,,0.32863,2.79E-05,,0.457776865,0,,
0.289345064,-0.294232649,,0.33255685,0,,0.448379956,0,,
0.289345064,-0.294232649,,0.33567605,2.79E-05,,0.4691514,0,,
0.289345064,-0.294232649,,0.3369293,0,,0.450373964,0,,
0.289345064,-0.294232649,,0.3393244,2.79E-05,,0.424138587,0,,
0.252199413,-0.294232649,,0.34052195,2.79E-05,,0.408208135,0,,
0.252199413,-0.294232649,,0.34224865,2.79E-05,,0.390056022,0,,
0.252199413,-0.26001955,,0.344226,0,,0.428791378,0,,
0.252199413,-0.26001955,,0.3485149,0,,0.425109712,0,,
0.252199413,-0.26001955,,0.35071505,0,,0.410615555,0,,
0.252199413,-0.26001955,,0.35210755,0,,0.437721022,0,,
0.252199413,-0.26001955,,0.3550318,2.79E-05,,0.419190969,0,,
0.252199413,-0.26001955,,0.3558673,2.79E-05,,0.431532055,0,,
0.252199413,-0.26001955,,0.3578725,2.79E-05,,0.423493632,0,,
0.252199413,-0.26001955,,0.35984985,0,,0.407387091,0,,
0.252199413,-0.26001955,,0.3615487,0,,0.427311086,0,,
0.252199413,-0.26001955,,0.3646679,2.79E-05,,0.420694864,0,,
0.252199413,-0.26001955,,0.3688454,2.79E-05,,0.403623188,0,,
0.252199413,-0.26001955,,0.36943025,0,,0.40701498,0,,
0.252199413,-0.26001955,,0.3716304,0,,0.431364956,0,,
0.187683284,-0.26001955,,0.3735242,0,,0.415982076,0,,
0.187683284,-0.26001955,,0.37544585,0,,0.419506684,0,,
0.187683284,-0.23655914,,0.3773118,2.79E-05,,0.39080863,0,,
0.187683284,-0.23655914,,0.37940055,2.79E-05,,0.417932846,0,,
0.187683284,-0.23655914,,0.38407935,0,,0.411449677,0,,
0.187683284,-0.23655914,,0.38541615,2.79E-05,,0.412134665,0,,
0.187683284,-0.23655914,,0.3869479,0,,0.391426564,0,,
0.187683284,-0.23655914,,0.3888417,0,,0.383081155,0,,
0.140762463,-0.23655914,,0.3906798,2.79E-05,,0.382949467,0,,
0.140762463,-0.23655914,,0.39210015,0,,0.373888236,0,,
0.140762463,-0.265884653,,0.3938547,2.79E-05,,0.375400168,0,,
0.140762463,-0.265884653,,0.39661185,2.79E-05,,0.34617775,0,,
0.140762463,-0.265884653,,0.39967535,2.79E-05,,0.379686435,0,,
0.140762463,-0.265884653,,0.40023235,0,,0.37949242,0,,
